Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Katalon_Login,Chrome 120.0.0.0,,,21-01-2024 23:37:10,21-01-2024 23:40:43,3m - 33.260s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_katalon_login_Internal_001,Chrome 120.0.0.0,,,21-01-2024 23:37:10,21-01-2024 23:37:36,25.658s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 23:37:11,21-01-2024 23:37:21,9.480s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,21-01-2024 23:37:21,21-01-2024 23:37:26,5.606s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,21-01-2024 23:37:26,21-01-2024 23:37:28,1.702s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_username""), username)",Chrome 120.0.0.0,,,21-01-2024 23:37:28,21-01-2024 23:37:30,2.158s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_password""), password)",Chrome 120.0.0.0,,,21-01-2024 23:37:30,21-01-2024 23:37:31,1.175s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,21-01-2024 23:37:31,21-01-2024 23:37:35,3.958s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 23:37:35,21-01-2024 23:37:36,0.929s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_katalon_login_Internal_001,Chrome 120.0.0.0,,,21-01-2024 23:37:36,21-01-2024 23:38:23,46.454s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 23:37:36,21-01-2024 23:37:39,3.049s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,21-01-2024 23:37:39,21-01-2024 23:37:48,8.277s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,21-01-2024 23:37:48,21-01-2024 23:37:52,4.631s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_username""), username)",Chrome 120.0.0.0,,,21-01-2024 23:37:52,21-01-2024 23:37:58,6.040s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_password""), password)",Chrome 120.0.0.0,,,21-01-2024 23:37:58,21-01-2024 23:38:00,1.076s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,21-01-2024 23:38:00,21-01-2024 23:38:02,2.036s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 23:38:02,21-01-2024 23:38:23,21.195s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_katalon_login_Internal_001,Chrome 120.0.0.0,,,21-01-2024 23:38:23,21-01-2024 23:38:39,16.290s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 23:38:23,21-01-2024 23:38:26,3.402s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,21-01-2024 23:38:26,21-01-2024 23:38:33,6.541s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,21-01-2024 23:38:33,21-01-2024 23:38:34,1.107s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_username""), username)",Chrome 120.0.0.0,,,21-01-2024 23:38:34,21-01-2024 23:38:35,1.208s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_password""), password)",Chrome 120.0.0.0,,,21-01-2024 23:38:35,21-01-2024 23:38:36,0.863s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,21-01-2024 23:38:36,21-01-2024 23:38:37,1.140s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 23:38:37,21-01-2024 23:38:39,1.987s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_katalon_login_Internal_001,Chrome 120.0.0.0,,,21-01-2024 23:38:39,21-01-2024 23:38:51,11.590s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 23:38:39,21-01-2024 23:38:41,2.042s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,21-01-2024 23:38:41,21-01-2024 23:38:46,4.634s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,21-01-2024 23:38:46,21-01-2024 23:38:47,1.080s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_username""), username)",Chrome 120.0.0.0,,,21-01-2024 23:38:47,21-01-2024 23:38:48,0.954s,PASSED
"setText(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/input_password""), password)",Chrome 120.0.0.0,,,21-01-2024 23:38:48,21-01-2024 23:38:49,0.823s,PASSED
"click(findTestObject(""Object Repository/DDT_CURA_1/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,21-01-2024 23:38:49,21-01-2024 23:38:51,1.596s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 23:38:51,21-01-2024 23:38:51,0.404s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_katalon_login_Internal_001,Chrome 120.0.0.0,,,21-01-2024 23:38:51,21-01-2024 23:39:02,11.278s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 23:38:51,21-01-2024 23:38:53,1.853s,PASSED
