Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Setup_Teardown_CURA_001,Chrome 120.0.0.0,,,26-01-2024 13:53:19,26-01-2024 13:54:00,40.941s,PASSED
,,,,,,,
Test Cases/TC_CURA_login_001,Chrome 120.0.0.0,,,26-01-2024 13:53:19,26-01-2024 13:53:47,27.761s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 13:53:19,26-01-2024 13:53:35,15.619s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,26-01-2024 13:53:35,26-01-2024 13:53:38,3.027s,PASSED
"click(findTestObject(""Object Repository/CURA_login_OR_001/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,26-01-2024 13:53:38,26-01-2024 13:53:39,1.129s,PASSED
"setText(findTestObject(""Object Repository/CURA_login_OR_001/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,26-01-2024 13:53:39,26-01-2024 13:53:40,0.953s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA_login_OR_001/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,26-01-2024 13:53:40,26-01-2024 13:53:41,0.522s,PASSED
"click(findTestObject(""Object Repository/CURA_login_OR_001/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,26-01-2024 13:53:41,26-01-2024 13:53:46,5.744s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,26-01-2024 13:53:46,26-01-2024 13:53:47,0.363s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppoitmentValidation_002,Chrome 120.0.0.0,,,26-01-2024 13:53:47,26-01-2024 13:54:00,12.897s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 13:53:47,26-01-2024 13:53:49,1.733s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,26-01-2024 13:53:49,26-01-2024 13:53:49,0.536s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,26-01-2024 13:53:49,26-01-2024 13:53:55,6.077s,PASSED
"click(findTestObject(""Object Repository/MakeAppoitmentValidation_OR_002/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,26-01-2024 13:53:55,26-01-2024 13:53:56,0.978s,PASSED
"setText(findTestObject(""Object Repository/MakeAppoitmentValidation_OR_002/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,26-01-2024 13:53:56,26-01-2024 13:53:57,0.753s,PASSED
"setText(findTestObject(""Object Repository/MakeAppoitmentValidation_OR_002/Page_CURA Healthcare Service/input_password""), ""ThisIsNotAPassword"")",Chrome 120.0.0.0,,,26-01-2024 13:53:57,26-01-2024 13:53:58,0.722s,PASSED
"click(findTestObject(""Object Repository/MakeAppoitmentValidation_OR_002/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,26-01-2024 13:53:58,26-01-2024 13:53:59,1.064s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/MakeAppoitmentValidation_OR_002/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 120.0.0.0,,,26-01-2024 13:53:59,26-01-2024 13:53:59,0.504s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,26-01-2024 13:53:59,26-01-2024 13:54:00,0.365s,PASSED
