Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_TL_MakeAppoitment,Chrome 120.0.0.0,,,27-01-2024 21:46:52,27-01-2024 21:47:21,28.404s,PASSED
,,,,,,,
Test Cases/Test Listener/TC_TL_AppoitmetConfirmation_001,Chrome 120.0.0.0,,,27-01-2024 21:47:07,27-01-2024 21:47:21,13.646s,PASSED
Start listener action : beforeTestCase,Chrome 120.0.0.0,,,27-01-2024 21:47:07,27-01-2024 21:47:07,0.004s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,27-01-2024 21:47:07,27-01-2024 21:47:13,5.256s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,27-01-2024 21:47:13,27-01-2024 21:47:14,1.103s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,27-01-2024 21:47:14,27-01-2024 21:47:15,0.937s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,27-01-2024 21:47:15,27-01-2024 21:47:15,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,27-01-2024 21:47:15,27-01-2024 21:47:17,1.116s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,27-01-2024 21:47:17,27-01-2024 21:47:18,1.185s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,27-01-2024 21:47:18,27-01-2024 21:47:18,0.386s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,27-01-2024 21:47:18,27-01-2024 21:47:18,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_7""))",Chrome 120.0.0.0,,,27-01-2024 21:47:18,27-01-2024 21:47:19,0.465s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""xdfgchgv"")",Chrome 120.0.0.0,,,27-01-2024 21:47:19,27-01-2024 21:47:20,0.795s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,27-01-2024 21:47:20,27-01-2024 21:47:20,0.723s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 120.0.0.0,,,27-01-2024 21:47:20,27-01-2024 21:47:21,0.368s,PASSED
Start listener action : afterTestCase,Chrome 120.0.0.0,,,27-01-2024 21:47:21,27-01-2024 21:47:21,0.001s,PASSED
